Vaccine,Dose,Geography Type,Geography,Survey Year,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size,State,HHS Region
Tetanus,Td or Tdap,States/Local Areas,Massachusetts,2022,>=65 Years,Overall,62.4,59.5 to 65.3,2584.0,Massachusetts,Region 1
Tetanus,Td or Tdap,States/Local Areas,Massachusetts,2022,18-49 Years,Overall,72.2,70.2 to 74.2,3812.0,Massachusetts,Region 1
Tetanus,Td or Tdap,States/Local Areas,Massachusetts,2022,>=18 Years,Overall,69.7,68.4 to 71.1,8666.0,Massachusetts,Region 1
Tetanus,Tdap,States/Local Areas,Massachusetts,2022,>=18 Years,Overall,48.7,47.0 to 50.4,5931.0,Massachusetts,Region 1
Tetanus,Tdap,States/Local Areas,Massachusetts,2022,>=65 Years,Overall,35.0,31.8 to 38.2,1695.0,Massachusetts,Region 1
Tetanus,Tdap,States/Local Areas,Massachusetts,2022,18-64 Years,Overall,52.9,50.9 to 54.9,4236.0,Massachusetts,Region 1
Zoster (Shingles),,States/Local Areas,Massachusetts,2022,>=60 Years,Overall,51.7,47.9 to 55.6,1243.0,Massachusetts,Region 1
Zoster (Shingles),,States/Local Areas,Massachusetts,2022,60-64 Years,Overall,50.0,42.2 to 57.9,273.0,Massachusetts,Region 1
Zoster (Shingles),,States/Local Areas,Massachusetts,2022,>=65 Years,Overall,52.4,48.0 to 56.8,970.0,Massachusetts,Region 1
Pneumococcal,,States/Local Areas,Oregon,2019,18-64 Years at Increased Risk,Overall,38.3,35.0 to 41.6,1213.0,Oregon,Region 10
Pneumococcal,,States/Local Areas,Oregon,2014,18-64 Years at Increased Risk,Overall,37.9,34.0 to 41.7,948.0,Oregon,Region 10
Pneumococcal,,States/Local Areas,Oregon,2015,>=65 Years,Overall,77.7,75.2 to 80.1,1702.0,Oregon,Region 10
Pneumococcal,,States/Local Areas,Oregon,2020,18-64 Years at Increased Risk,Overall,33.8,30.6 to 37.0,1053.0,Oregon,Region 10
Pneumococcal,,States/Local Areas,Oregon,2016,>=65 Years,Overall,76.5,74.1 to 78.9,1564.0,Oregon,Region 10
Pneumococcal,,States/Local Areas,Oregon,2021,>=65 Years,Overall,75.5,72.5 to 78.4,1417.0,Oregon,Region 10
Pneumococcal,,States/Local Areas,Oregon,2013,18-64 Years at Increased Risk,Overall,34.6,31.1 to 38.1,1125.0,Oregon,Region 10
Pneumococcal,,States/Local Areas,Oregon,2022,18-64 Years at Increased Risk,Overall,36.4,32.9 to 39.9,1215.0,Oregon,Region 10
Pneumococcal,,States/Local Areas,Oregon,2022,>=65 Years,Overall,72.5,69.5 to 75.5,1553.0,Oregon,Region 10
Tetanus,Td or Tdap,States/Local Areas,Oregon,2022,50-64 Years,Overall,73.3,70.1 to 76.6,1283.0,Oregon,Region 10
Tetanus,Td or Tdap,States/Local Areas,Oregon,2022,>=65 Years,Overall,71.3,68.1 to 74.4,1441.0,Oregon,Region 10
Tetanus,Td or Tdap,States/Local Areas,Oregon,2022,18-49 Years,Overall,73.3,71.1 to 75.6,2120.0,Oregon,Region 10
Tetanus,Td or Tdap,States/Local Areas,Oregon,2022,>=18 Years,Overall,72.8,71.2 to 74.4,4844.0,Oregon,Region 10
Tetanus,Tdap,States/Local Areas,Oregon,2022,>=18 Years,Overall,51.4,49.3 to 53.5,3230.0,Oregon,Region 10
Tetanus,Tdap,States/Local Areas,Oregon,2022,>=65 Years,Overall,43.3,39.1 to 47.4,910.0,Oregon,Region 10
Tetanus,Tdap,States/Local Areas,Oregon,2022,18-64 Years,Overall,53.9,51.4 to 56.3,2320.0,Oregon,Region 10
Pneumococcal,,States/Local Areas,Oregon,2023,>=65 Years,Overall,73.8,70.8 to 76.7,1885.0,Oregon,Region 10
Zoster (Shingles),,States/Local Areas,Oregon,2023,>=65 Years,Overall,62.2,58.8 to 65.6,1949.0,Oregon,Region 10
Zoster (Shingles),,States/Local Areas,Oregon,2023,>=60 Years,Overall,57.4,54.4 to 60.4,2427.0,Oregon,Region 10
Tetanus,Tdap,States/Local Areas,Oregon,2016,>=65 Years,Overall,24.7,21.9 to 27.5,1075.0,Oregon,Region 10
Tetanus,Tdap,States/Local Areas,Oregon,2013,18-64 Years,Overall,37.3,34.7 to 39.9,2289.0,Oregon,Region 10
Tetanus,Tdap,States/Local Areas,Oregon,2019,18-64 Years,Overall,57.6,55.2 to 60.0,2316.0,Oregon,Region 10
Tetanus,Tdap,States/Local Areas,Oregon,2013,>=65 Years,Overall,28.5,25.4 to 31.6,1259.0,Oregon,Region 10
Tetanus,Tdap,States/Local Areas,Oregon,2016,18-64 Years,Overall,42.9,40.5 to 45.4,2124.0,Oregon,Region 10
Tetanus,Tdap,States/Local Areas,Oregon,2019,>=65 Years,Overall,43.5,39.5 to 47.5,954.0,Oregon,Region 10
Tetanus,Tdap,States/Local Areas,Oregon,2016,>=18 Years,Overall,38.8,36.7 to 40.8,3199.0,Oregon,Region 10
Tetanus,Tdap,States/Local Areas,Oregon,2013,>=18 Years,Overall,35.5,33.3 to 37.6,3548.0,Oregon,Region 10
Pneumococcal,,States/Local Areas,Oregon,2023,18-64 Years at Increased Risk,Overall,40.9,37.3 to 44.5,1188.0,Oregon,Region 10
Zoster (Shingles),,States/Local Areas,Oregon,2017,>=60 Years,Overall,49.5,47.0 to 52.1,2095.0,Oregon,Region 10
Tetanus,Tdap,States/Local Areas,Oregon,2019,>=18 Years,Overall,54.6,52.5 to 56.6,3270.0,Oregon,Region 10
Zoster (Shingles),,States/Local Areas,Oregon,2023,60-64 Years,Overall,41.6,35.5 to 47.7,478.0,Oregon,Region 10
Tetanus,Tdap,States/Local Areas,Maine,2019,>=18 Years,Overall,55.5,53.4 to 57.6,5856.0,Maine,Region 1
Zoster (Shingles),,States/Local Areas,Maine,2017,>=60 Years,Overall,47.0,45.0 to 49.1,4690.0,Maine,Region 1
Tetanus,Tdap,States/Local Areas,Maine,2011,18-64 Years,Overall,19.2,16.1 to 22.4,1437.0,Maine,Region 1
Tetanus,Tdap,States/Local Areas,Maine,2013,18-64 Years,Overall,40.2,37.9 to 42.5,2912.0,Maine,Region 1
Tetanus,Tdap,States/Local Areas,Maine,2011,>=18 Years,Overall,16.3,13.7 to 18.9,2216.0,Maine,Region 1
Tetanus,Tdap,States/Local Areas,Maine,2016,>=18 Years,Overall,39.2,37.4 to 41.1,6434.0,Maine,Region 1
Tetanus,Tdap,States/Local Areas,Maine,2013,>=18 Years,Overall,37.2,35.3 to 39.1,4592.0,Maine,Region 1
Tetanus,Tdap,States/Local Areas,Maine,2019,>=65 Years,Overall,42.2,39.6 to 44.8,2673.0,Maine,Region 1
Tetanus,Tdap,States/Local Areas,Maine,2011,>=65 Years,Overall,5.7,3.6 to 7.8,779.0,Maine,Region 1
Tetanus,Tdap,States/Local Areas,Maine,2016,>=65 Years,Overall,26.5,24.2 to 28.8,2520.0,Maine,Region 1
Tetanus,Tdap,States/Local Areas,Maine,2019,18-64 Years,Overall,59.8,57.1 to 62.4,3183.0,Maine,Region 1
Tetanus,Tdap,States/Local Areas,Maine,2013,>=65 Years,Overall,27.1,24.4 to 29.8,1680.0,Maine,Region 1
Tetanus,Tdap,States/Local Areas,Maine,2016,18-64 Years,Overall,43.5,41.2 to 45.9,3914.0,Maine,Region 1
Pneumococcal,,States/Local Areas,Maine,2023,18-64 Years at Increased Risk,Overall,39.3,36.5 to 42.2,2171.0,Maine,Region 1
Zoster (Shingles),,States/Local Areas,Maine,2023,60-64 Years,Overall,44.0,40.3 to 47.6,1231.0,Maine,Region 1
Pneumococcal,,States/Local Areas,Maine,2023,>=65 Years,Overall,74.6,73.0 to 76.2,5412.0,Maine,Region 1
Zoster (Shingles),,States/Local Areas,Maine,2023,>=65 Years,Overall,63.6,61.9 to 65.3,5555.0,Maine,Region 1
Zoster (Shingles),,States/Local Areas,Maine,2023,>=60 Years,Overall,58.5,56.9 to 60.1,6786.0,Maine,Region 1
Tetanus,Tdap,States/Local Areas,Nebraska,2019,>=18 Years,Overall,49.6,48.1 to 51.1,8860.0,Nebraska,Region 7
Zoster (Shingles),,States/Local Areas,Nebraska,2017,>=60 Years,Overall,48.0,46.2 to 49.8,6472.0,Nebraska,Region 7
Tetanus,Tdap,States/Local Areas,Nebraska,2016,>=18 Years,Overall,37.2,35.6 to 38.7,9938.0,Nebraska,Region 7
Tetanus,Tdap,States/Local Areas,Nebraska,2013,>=18 Years,Overall,32.4,30.9 to 34.0,10372.0,Nebraska,Region 7
Tetanus,Tdap,States/Local Areas,Nebraska,2013,18-64 Years,Overall,35.9,34.1 to 37.7,6624.0,Nebraska,Region 7
Tetanus,Tdap,States/Local Areas,Nebraska,2019,>=65 Years,Overall,36.3,34.1 to 38.5,3427.0,Nebraska,Region 7
Tetanus,Tdap,States/Local Areas,Nebraska,2016,>=65 Years,Overall,21.8,19.8 to 23.7,3581.0,Nebraska,Region 7
Tetanus,Tdap,States/Local Areas,Nebraska,2019,18-64 Years,Overall,53.2,51.4 to 55.1,5433.0,Nebraska,Region 7
Tetanus,Tdap,States/Local Areas,Nebraska,2013,>=65 Years,Overall,18.4,16.4 to 20.4,3748.0,Nebraska,Region 7
Tetanus,Tdap,States/Local Areas,Nebraska,2016,18-64 Years,Overall,41.3,39.5 to 43.2,6357.0,Nebraska,Region 7
Pneumococcal,,States/Local Areas,Nebraska,2022,18-64 Years at Increased Risk,Overall,30.8,27.5 to 34.1,1299.0,Nebraska,Region 7
Pneumococcal,,States/Local Areas,Nebraska,2022,>=65 Years,Overall,76.3,74.4 to 78.3,2854.0,Nebraska,Region 7
Tetanus,Td or Tdap,States/Local Areas,Nebraska,2022,50-64 Years,Overall,71.2,68.3 to 74.0,1570.0,Nebraska,Region 7
Tetanus,Td or Tdap,States/Local Areas,Nebraska,2022,>=65 Years,Overall,65.2,62.9 to 67.4,2743.0,Nebraska,Region 7
Tetanus,Td or Tdap,States/Local Areas,Nebraska,2022,18-49 Years,Overall,68.7,66.2 to 71.2,2173.0,Nebraska,Region 7
Tetanus,Td or Tdap,States/Local Areas,Nebraska,2022,>=18 Years,Overall,68.5,66.9 to 70.0,6486.0,Nebraska,Region 7
Tetanus,Tdap,States/Local Areas,Nebraska,2022,>=18 Years,Overall,43.0,40.9 to 45.0,4465.0,Nebraska,Region 7
Tetanus,Tdap,States/Local Areas,Nebraska,2022,>=65 Years,Overall,32.8,30.1 to 35.5,1873.0,Nebraska,Region 7
Tetanus,Tdap,States/Local Areas,Nebraska,2022,18-64 Years,Overall,45.9,43.4 to 48.4,2592.0,Nebraska,Region 7
Zoster (Shingles),,States/Local Areas,Arkansas,2023,>=65 Years,Overall,49.6,47.0 to 52.2,2141.0,Arkansas,Region 6
Zoster (Shingles),,States/Local Areas,Arkansas,2023,>=60 Years,Overall,43.7,41.4 to 46.0,2626.0,Arkansas,Region 6
Pneumococcal,,States/Local Areas,Arkansas,2023,>=65 Years,Overall,71.3,68.9 to 73.7,2117.0,Arkansas,Region 6
Pneumococcal,,States/Local Areas,Arkansas,2023,18-64 Years at Increased Risk,Overall,30.8,27.4 to 34.2,1045.0,Arkansas,Region 6
Zoster (Shingles),,States/Local Areas,Arkansas,2023,60-64 Years,Overall,26.0,21.7 to 30.3,485.0,Arkansas,Region 6
Tetanus,Tdap,States/Local Areas,Arkansas,2013,18-64 Years,Overall,23.7,21.1 to 26.4,1941.0,Arkansas,Region 6
Zoster (Shingles),,States/Local Areas,Arkansas,2020,>=60 Years,Overall,35.8,33.5 to 38.1,2883.0,Arkansas,Region 6
Tetanus,Tdap,States/Local Areas,Arkansas,2016,>=18 Years,Overall,27.3,24.2 to 30.3,3434.0,Arkansas,Region 6
Tetanus,Tdap,States/Local Areas,Arkansas,2013,>=18 Years,Overall,20.8,18.7 to 23.0,3266.0,Arkansas,Region 6
Zoster (Shingles),,States/Local Areas,Arkansas,2017,>=60 Years,Overall,34.7,32.1 to 37.3,3022.0,Arkansas,Region 6
Tetanus,Tdap,States/Local Areas,Arkansas,2017,18-64 Years,Overall,29.8,26.0 to 33.6,1441.0,Arkansas,Region 6
Tetanus,Tdap,States/Local Areas,Arkansas,2019,>=65 Years,Overall,26.4,23.4 to 29.3,1528.0,Arkansas,Region 6
Tetanus,Tdap,States/Local Areas,Arkansas,2017,>=65 Years,Overall,18.5,15.7 to 21.2,1657.0,Arkansas,Region 6
Tetanus,Tdap,States/Local Areas,Arkansas,2016,>=65 Years,Overall,11.8,9.6 to 14.0,1666.0,Arkansas,Region 6
Tetanus,Tdap,States/Local Areas,Arkansas,2013,>=65 Years,Overall,10.4,8.2 to 12.7,1325.0,Arkansas,Region 6
Tetanus,Tdap,States/Local Areas,Arkansas,2019,18-64 Years,Overall,41.8,38.6 to 45.1,1488.0,Arkansas,Region 6
Tetanus,Tdap,States/Local Areas,Arkansas,2016,18-64 Years,Overall,31.7,28.0 to 35.5,1768.0,Arkansas,Region 6
Tetanus,Tdap,States/Local Areas,Arkansas,2017,>=18 Years,Overall,27.0,24.1 to 29.9,3098.0,Arkansas,Region 6
Tetanus,Tdap,States/Local Areas,Arkansas,2019,>=18 Years,Overall,38.3,35.7 to 40.9,3016.0,Arkansas,Region 6
Zoster (Shingles),,States/Local Areas,Colorado,2018,>=60 Years,Overall,46.0,43.2 to 48.7,1650.0,Colorado,Region 8
Tetanus,Tdap,States/Local Areas,Colorado,2019,>=18 Years,Overall,53.6,51.9 to 55.4,4731.0,Colorado,Region 8
Zoster (Shingles),,States/Local Areas,Colorado,2017,>=60 Years,Overall,48.2,46.3 to 50.1,3692.0,Colorado,Region 8
Zoster (Shingles),,States/Local Areas,Colorado,2015,>=60 Years,Overall,46.3,43.8 to 48.7,2458.0,Colorado,Region 8
Tetanus,Tdap,States/Local Areas,Colorado,2014,>=18 Years,Overall,35.1,32.5 to 37.7,2499.0,Colorado,Region 8
Tetanus,Tdap,States/Local Areas,Colorado,2015,>=18 Years,Overall,40.1,37.6 to 42.7,3430.0,Colorado,Region 8
Tetanus,Tdap,States/Local Areas,Colorado,2016,>=18 Years,Overall,42.9,41.4 to 44.3,8161.0,Colorado,Region 8
Tetanus,Tdap,States/Local Areas,Colorado,2013,>=18 Years,Overall,36.8,35.4 to 38.3,7785.0,Colorado,Region 8
Tetanus,Tdap,States/Local Areas,Colorado,2013,>=65 Years,Overall,28.9,26.5 to 31.2,2328.0,Colorado,Region 8
Tetanus,Tdap,States/Local Areas,Colorado,2019,18-64 Years,Overall,55.7,53.7 to 57.7,3093.0,Colorado,Region 8
Tetanus,Tdap,States/Local Areas,Colorado,2016,18-64 Years,Overall,45.4,43.7 to 47.1,5364.0,Colorado,Region 8
Tetanus,Tdap,States/Local Areas,Colorado,2015,18-64 Years,Overall,41.8,38.9 to 44.8,2374.0,Colorado,Region 8
Tetanus,Tdap,States/Local Areas,Colorado,2014,18-64 Years,Overall,36.7,33.7 to 39.8,1686.0,Colorado,Region 8
Zoster (Shingles),,States/Local Areas,Colorado,2019,>=60 Years,Overall,44.5,41.9 to 47.1,1805.0,Colorado,Region 8
Tetanus,Tdap,States/Local Areas,Colorado,2013,18-64 Years,Overall,38.4,36.7 to 40.0,5457.0,Colorado,Region 8
Zoster (Shingles),,States/Local Areas,Colorado,2020,>=60 Years,Overall,47.3,45.4 to 49.2,3690.0,Colorado,Region 8
Tetanus,Tdap,States/Local Areas,Colorado,2019,>=65 Years,Overall,44.5,41.7 to 47.3,1638.0,Colorado,Region 8
Tetanus,Tdap,States/Local Areas,Colorado,2016,>=65 Years,Overall,31.0,28.9 to 33.1,2797.0,Colorado,Region 8
Tetanus,Tdap,States/Local Areas,Colorado,2015,>=65 Years,Overall,31.2,27.7 to 34.6,1056.0,Colorado,Region 8
Tetanus,Tdap,States/Local Areas,Colorado,2014,>=65 Years,Overall,27.3,23.6 to 31.1,813.0,Colorado,Region 8
Zoster (Shingles),,States/Local Areas,Colorado,2023,>=65 Years,Overall,68.0,65.5 to 70.4,2481.0,Colorado,Region 8
Pneumococcal,,States/Local Areas,Colorado,2023,18-64 Years at Increased Risk,Overall,35.3,32.3 to 38.3,1572.0,Colorado,Region 8
Zoster (Shingles),,States/Local Areas,Colorado,2023,60-64 Years,Overall,46.4,41.7 to 51.1,712.0,Colorado,Region 8
Zoster (Shingles),,States/Local Areas,Colorado,2023,>=60 Years,Overall,61.7,59.5 to 64.0,3193.0,Colorado,Region 8
Pneumococcal,,States/Local Areas,Colorado,2023,>=65 Years,Overall,75.3,72.9 to 77.7,2412.0,Colorado,Region 8
Tetanus,Tdap,States/Local Areas,Illinois,2019,>=18 Years,Overall,42.8,40.8 to 44.8,3287.0,Illinois,Region 5
Pneumococcal,,States/Local Areas,Illinois,2022,18-64 Years at Increased Risk,Overall,26.9,23.2 to 30.7,794.0,Illinois,Region 5
Pneumococcal,,States/Local Areas,Illinois,2022,>=65 Years,Overall,67.8,63.6 to 72.0,956.0,Illinois,Region 5
Tetanus,Td or Tdap,States/Local Areas,Illinois,2022,50-64 Years,Overall,63.4,59.3 to 67.5,862.0,Illinois,Region 5
Tetanus,Td or Tdap,States/Local Areas,Illinois,2022,>=65 Years,Overall,56.3,51.9 to 60.7,926.0,Illinois,Region 5
Tetanus,Td or Tdap,States/Local Areas,Illinois,2022,18-49 Years,Overall,59.9,56.9 to 63.0,1596.0,Illinois,Region 5
Tetanus,Td or Tdap,States/Local Areas,Illinois,2022,>=18 Years,Overall,59.9,57.8 to 62.1,3384.0,Illinois,Region 5
Tetanus,Tdap,States/Local Areas,Illinois,2022,>=18 Years,Overall,33.1,30.7 to 35.4,2406.0,Illinois,Region 5
Tetanus,Tdap,States/Local Areas,Illinois,2022,>=65 Years,Overall,26.5,21.8 to 31.1,634.0,Illinois,Region 5
Tetanus,Tdap,States/Local Areas,Illinois,2022,18-64 Years,Overall,35.1,32.3 to 37.8,1772.0,Illinois,Region 5
Tetanus,Td or Tdap,States/Local Areas,Ohio,2016,>=18 Years,Overall,59.7,58.3 to 61.1,10805.0,Ohio,Region 5
Tetanus,Td or Tdap,States/Local Areas,Ohio,2013,>=18 Years,Overall,56.6,55.1 to 58.0,10054.0,Ohio,Region 5
Pneumococcal,,States/Local Areas,Ohio,2020,>=65 Years,Overall,72.2,70.3 to 74.1,4424.0,Ohio,Region 5
Pneumococcal,,States/Local Areas,Ohio,2011,18-64 Years at Increased Risk,Overall,29.6,27.1 to 32.0,2610.0,Ohio,Region 5
Pneumococcal,,States/Local Areas,Ohio,2010,18-64 Years at Increased Risk,Overall,28.5,25.7 to 31.3,2457.0,Ohio,Region 5
Pneumococcal,,States/Local Areas,Ohio,2009,18-64 Years at Increased Risk,Overall,23.9,21.6 to 26.3,2355.0,Ohio,Region 5
Pneumococcal,,States/Local Areas,Ohio,2008,18-64 Years at Increased Risk,Overall,23.9,21.6 to 26.2,3008.0,Ohio,Region 5
Pneumococcal,,States/Local Areas,Ohio,2019,>=65 Years,Overall,74.7,72.9 to 76.5,5095.0,Ohio,Region 5
Pneumococcal,,States/Local Areas,Ohio,2018,18-64 Years at Increased Risk,Overall,32.0,29.6 to 34.3,3190.0,Ohio,Region 5
Tetanus,Td or Tdap,States/Local Areas,Ohio,2016,50-64 Years,Overall,58.7,56.2 to 61.1,3451.0,Ohio,Region 5
Tetanus,Td or Tdap,States/Local Areas,Ohio,2016,>=65 Years,Overall,43.2,40.9 to 45.5,4097.0,Ohio,Region 5
Tetanus,Td or Tdap,States/Local Areas,Ohio,2019,50-64 Years,Overall,69.2,66.9 to 71.6,3278.0,Ohio,Region 5
Tetanus,Td or Tdap,States/Local Areas,Ohio,2013,>=65 Years,Overall,45.3,42.7 to 47.8,3153.0,Ohio,Region 5
Tetanus,Td or Tdap,States/Local Areas,Ohio,2016,18-49 Years,Overall,66.9,64.7 to 69.1,3257.0,Ohio,Region 5
Tetanus,Td or Tdap,States/Local Areas,Ohio,2013,18-49 Years,Overall,62.0,59.8 to 64.2,3474.0,Ohio,Region 5
Tetanus,Td or Tdap,States/Local Areas,Ohio,2019,18-49 Years,Overall,74.5,72.3 to 76.7,3006.0,Ohio,Region 5
Tetanus,Td or Tdap,States/Local Areas,Ohio,2019,>=65 Years,Overall,63.2,61.2 to 65.3,4701.0,Ohio,Region 5
Zoster (Shingles),,States/Local Areas,Ohio,2014,>=65 Years,Overall,35.2,33.0 to 37.4,3803.0,Ohio,Region 5
Pneumococcal,,States/Local Areas,Ohio,2012,18-64 Years at Increased Risk,Overall,30.0,27.9 to 32.0,3569.0,Ohio,Region 5
Tetanus,Td or Tdap,States/Local Areas,Ohio,2019,>=18 Years,Overall,70.5,69.2 to 71.9,10985.0,Ohio,Region 5
Pneumococcal,,States/Local Areas,Ohio,2018,>=65 Years,Overall,74.3,72.5 to 76.1,4589.0,Ohio,Region 5
Tetanus,Td or Tdap,States/Local Areas,Ohio,2013,50-64 Years,Overall,54.4,52.0 to 56.7,3427.0,Ohio,Region 5
Zoster (Shingles),,States/Local Areas,Ohio,2017,>=65 Years,Overall,45.1,43.0 to 47.3,4362.0,Ohio,Region 5
Zoster (Shingles),,States/Local Areas,Ohio,2020,>=60 Years,Overall,39.7,38.0 to 41.4,5977.0,Ohio,Region 5
Pneumococcal,,States/Local Areas,Ohio,2009,>=65 Years,Overall,67.4,65.3 to 69.5,2950.0,Ohio,Region 5
Pneumococcal,,States/Local Areas,Ohio,2008,>=65 Years,Overall,66.9,65.0 to 68.8,4021.0,Ohio,Region 5
Pneumococcal,,States/Local Areas,Ohio,2021,18-64 Years at Increased Risk,Overall,32.7,30.4 to 35.0,3161.0,Ohio,Region 5
Pneumococcal,,States/Local Areas,Ohio,2017,>=65 Years,Overall,76.1,74.2 to 78.0,4322.0,Ohio,Region 5
Pneumococcal,,States/Local Areas,Ohio,2015,18-64 Years at Increased Risk,Overall,34.3,31.3 to 37.3,2474.0,Ohio,Region 5
Pneumococcal,,States/Local Areas,Ohio,2017,18-64 Years at Increased Risk,Overall,37.8,35.2 to 40.4,2758.0,Ohio,Region 5
Pneumococcal,,States/Local Areas,Ohio,2014,>=65 Years,Overall,70.2,67.9 to 72.4,3736.0,Ohio,Region 5
Pneumococcal,,States/Local Areas,Ohio,2016,>=65 Years,Overall,74.7,72.8 to 76.6,4426.0,Ohio,Region 5
Pneumococcal,,States/Local Areas,Ohio,2020,18-64 Years at Increased Risk,Overall,33.8,31.5 to 36.0,3479.0,Ohio,Region 5
Pneumococcal,,States/Local Areas,Ohio,2015,>=65 Years,Overall,72.2,70.1 to 74.3,4267.0,Ohio,Region 5
Pneumococcal,,States/Local Areas,Ohio,2013,18-64 Years at Increased Risk,Overall,32.9,30.4 to 35.3,2985.0,Ohio,Region 5
Pneumococcal,,States/Local Areas,Ohio,2019,18-64 Years at Increased Risk,Overall,36.4,33.7 to 39.1,2928.0,Ohio,Region 5
Zoster (Shingles),,States/Local Areas,Ohio,2014,60-64 Years,Overall,22.2,18.9 to 25.5,1296.0,Ohio,Region 5
Pneumococcal,,States/Local Areas,Ohio,2021,>=65 Years,Overall,70.7,68.7 to 72.7,4574.0,Ohio,Region 5
Pneumococcal,,States/Local Areas,Ohio,2014,18-64 Years at Increased Risk,Overall,31.3,28.6 to 33.9,2644.0,Ohio,Region 5
Zoster (Shingles),,States/Local Areas,Ohio,2020,>=65 Years,Overall,45.3,43.2 to 47.3,4510.0,Ohio,Region 5
Zoster (Shingles),,States/Local Areas,Ohio,2017,60-64 Years,Overall,28.2,24.9 to 31.5,1427.0,Ohio,Region 5
Zoster (Shingles),,States/Local Areas,Ohio,2020,60-64 Years,Overall,25.8,22.7 to 28.8,1467.0,Ohio,Region 5
Zoster (Shingles),,States/Local Areas,Ohio,2014,>=60 Years,Overall,31.4,29.6 to 33.3,5099.0,Ohio,Region 5
Pneumococcal,,States/Local Areas,Ohio,2016,18-64 Years at Increased Risk,Overall,33.6,31.1 to 36.1,2913.0,Ohio,Region 5
Pneumococcal,,States/Local Areas,Ohio,2010,>=65 Years,Overall,68.5,66.4 to 70.5,2993.0,Ohio,Region 5
Pneumococcal,,States/Local Areas,Ohio,2013,>=65 Years,Overall,71.2,68.9 to 73.4,3356.0,Ohio,Region 5
Pneumococcal,,States/Local Areas,Ohio,2012,>=65 Years,Overall,69.5,67.4 to 71.5,3800.0,Ohio,Region 5
Pneumococcal,,States/Local Areas,Ohio,2011,>=65 Years,Overall,69.9,67.7 to 72.2,2783.0,Ohio,Region 5
Pneumococcal,,States/Local Areas,New Mexico,2023,18-64 Years at Increased Risk,Overall,30.7,25.4 to 35.9,606.0,New Mexico,Region 6
Zoster (Shingles),,States/Local Areas,New Mexico,2023,60-64 Years,Overall,39.5,30.9 to 48.0,278.0,New Mexico,Region 6
Tetanus,Tdap,States/Local Areas,New Mexico,2013,18-64 Years,Overall,34.4,32.3 to 36.5,3991.0,New Mexico,Region 6
Tetanus,Tdap,States/Local Areas,New Mexico,2016,>=65 Years,Overall,25.0,21.9 to 28.0,1466.0,New Mexico,Region 6
Tetanus,Tdap,States/Local Areas,New Mexico,2019,>=65 Years,Overall,41.4,37.5 to 45.2,1320.0,New Mexico,Region 6
Tetanus,Tdap,States/Local Areas,New Mexico,2019,18-64 Years,Overall,50.6,47.7 to 53.4,2174.0,New Mexico,Region 6
Tetanus,Tdap,States/Local Areas,New Mexico,2013,>=65 Years,Overall,27.5,24.5 to 30.6,1765.0,New Mexico,Region 6
Tetanus,Tdap,States/Local Areas,New Mexico,2016,18-64 Years,Overall,36.6,33.8 to 39.4,2515.0,New Mexico,Region 6
Tetanus,Tdap,States/Local Areas,New Mexico,2016,>=18 Years,Overall,34.0,31.7 to 36.3,3981.0,New Mexico,Region 6
Tetanus,Tdap,States/Local Areas,New Mexico,2013,>=18 Years,Overall,33.1,31.3 to 34.8,5756.0,New Mexico,Region 6
Tetanus,Tdap,States/Local Areas,New Mexico,2019,>=18 Years,Overall,48.4,46.1 to 50.8,3494.0,New Mexico,Region 6
Pneumococcal,,States/Local Areas,New Mexico,2023,>=65 Years,Overall,67.1,63.0 to 71.3,1256.0,New Mexico,Region 6
Zoster (Shingles),,States/Local Areas,New Mexico,2023,>=65 Years,Overall,58.2,54.1 to 62.2,1285.0,New Mexico,Region 6
Zoster (Shingles),,States/Local Areas,New Mexico,2023,>=60 Years,Overall,53.6,49.9 to 57.4,1563.0,New Mexico,Region 6
Zoster (Shingles),,States/Local Areas,New Mexico,2017,>=60 Years,Overall,43.8,41.2 to 46.5,2829.0,New Mexico,Region 6
Pneumococcal,,States/Local Areas,New Mexico,2022,18-64 Years at Increased Risk,Overall,30.9,26.8 to 35.0,928.0,New Mexico,Region 6
Pneumococcal,,States/Local Areas,New Mexico,2022,>=65 Years,Overall,70.6,67.6 to 73.6,1847.0,New Mexico,Region 6
Tetanus,Td or Tdap,States/Local Areas,New Mexico,2022,50-64 Years,Overall,64.7,60.8 to 68.6,1011.0,New Mexico,Region 6
Tetanus,Td or Tdap,States/Local Areas,New Mexico,2022,>=65 Years,Overall,63.5,60.3 to 66.8,1747.0,New Mexico,Region 6
Tetanus,Td or Tdap,States/Local Areas,New Mexico,2022,18-49 Years,Overall,66.0,62.6 to 69.3,1270.0,New Mexico,Region 6
Tetanus,Td or Tdap,States/Local Areas,New Mexico,2022,>=18 Years,Overall,65.1,62.9 to 67.2,4028.0,New Mexico,Region 6
Tetanus,Tdap,States/Local Areas,New Mexico,2022,>=18 Years,Overall,40.2,37.6 to 42.8,2854.0,New Mexico,Region 6
Tetanus,Tdap,States/Local Areas,New Mexico,2022,>=65 Years,Overall,34.3,30.4 to 38.2,1202.0,New Mexico,Region 6
Tetanus,Tdap,States/Local Areas,New Mexico,2022,18-64 Years,Overall,42.1,38.9 to 45.3,1652.0,New Mexico,Region 6
